"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","The popover opens adjacent to the tapped pill","desktop","2026-08-22","skipped","2026-08-22","Award and critic badges and their anchored popover","features/popovers.feature.spec.js","",""
"","5424","The critic badge explains itself in an anchored popover","desktop","2026-09-17","passed","2026-09-17","The award breakdown and the critic popover","features/popovers.feature.spec.js","",""
"","7592","The award row shows two sums, and the breakdown stays behind a tap","desktop","2026-09-17","passed","2026-09-17","Card layout across view modes","features/layout.feature.spec.js","",""
"","5712","The heart turns the eye on — recommending also marks watched","desktop","2026-09-17","passed","2026-09-17","Marking a film watched or recommended","features/marks.feature.spec.js","",""
"","4703","The strip is no longer arranged — no «Меню» tab, no arrange sheet","desktop","2026-09-17","passed","2026-09-17","Card layout across view modes","features/layout.feature.spec.js","",""
"","4904","The rating badge never overlaps the type/year line","phone-portrait","2026-09-17","passed","2026-09-17","Card layout across view modes","features/layout.feature.spec.js","",""
"","4852","The ""Рекомендую"" word deselects to «Усі» on a second tap","desktop","2026-09-17","passed","2026-09-17","Toggle-off on second tap and hover on touch","features/toggles.feature.spec.js","",""
"","0","The ""Рекомендую"" tab deselects back to ""Усі"" on a second tap","desktop","2026-08-22","skipped","2026-08-22","Toggle-off on second tap and hover on touch","features/toggles.feature.spec.js","",""
"","5807","The page opens with its four sources, and the friends source is never empty","desktop","2026-09-17","passed","2026-09-17","The collections page — top, friends, mine and the SeenIt lists","features/recommendations.feature.spec.js","",""
"","5113","No row names a service this region cannot use","desktop","2026-09-17","passed","2026-09-17","""Де подивитись"" — where a film can be watched","features/where-to-watch.feature.spec.js","",""
"","4996","What you can already watch is listed above what you must pay for","desktop","2026-09-17","passed","2026-09-17","""Де подивитись"" — where a film can be watched","features/where-to-watch.feature.spec.js","",""
"","6002","Search narrows the catalog and clearing restores it","desktop","2026-09-17","passed","2026-09-17","Core smoke — login, search, movie modal","features/smoke.feature.spec.js","",""
"","5361","The account panel knows who I am","desktop","2026-09-17","passed","2026-09-17","Account panel and the onboarding guide","features/account.feature.spec.js","",""
"","6261","The collections page opens from its address","desktop","2026-09-17","passed","2026-09-17","Addresses — every place in the app is a path","features/routes.feature.spec.js","",""
"","7172","Fetched facts render as text while owned fields stay editable","desktop","2026-09-17","passed","2026-09-17","Auto-fetched facts are reference-only in the add form","features/readonly-fields.feature.spec.js","",""
"","0","Award pills carry only curated English ceremony names","desktop","2026-08-22","skipped","2026-08-22","Award and critic badges and their anchored popover","features/popovers.feature.spec.js","",""
"","0","A genre chip deselects on a second tap","desktop","2026-08-22","skipped","2026-08-22","Toggle-off on second tap and hover on touch","features/toggles.feature.spec.js","",""
"","4847","The archive lists exactly what the watched count claims","desktop","2026-09-17","passed","2026-09-17","Marking a film watched or recommended","features/marks.feature.spec.js","",""
"","0","List view lays a card out as a horizontal row","desktop","2026-08-22","skipped","2026-08-22","Card layout across view modes","features/layout.feature.spec.js","",""
"","0","A tapped-then-deselected chip keeps no sticky hover styling","phone-portrait","2026-08-22","skipped","2026-08-22","Toggle-off on second tap and hover on touch","features/toggles.feature.spec.js","",""
"","8966","«Усі» clears a chosen decade and the whole shelf returns","desktop","2026-09-17","passed","2026-09-17","The filter sheet — years and providers","features/filters.feature.spec.js","",""
"","7366","The account page has its own address","desktop","2026-09-17","passed","2026-09-17","Addresses — every place in the app is a path","features/routes.feature.spec.js","",""
"","5427","The popover dismisses on a tap outside it","desktop","2026-09-17","passed","2026-09-17","The award breakdown and the critic popover","features/popovers.feature.spec.js","",""
"","6961","A tapped-then-deselected option keeps no sticky hover styling","phone-portrait","2026-09-17","passed","2026-09-17","Toggle-off on second tap and hover on touch","features/toggles.feature.spec.js","",""
"","8144","Opening and closing the movie modal","desktop","2026-09-17","passed","2026-09-17","Core smoke — login, search, movie modal","features/smoke.feature.spec.js","",""
"","6679","A film with providers lists each one with its offer","desktop","2026-09-17","passed","2026-09-17","""Де подивитись"" — where a film can be watched","features/where-to-watch.feature.spec.js","",""
"","5315","Clearing a dead-end search restores the catalog","desktop","2026-09-17","passed","2026-09-17","Negative paths — what a person sees when something finds nothing","features/negative.feature.spec.js","",""
"","5197","Whitespace is not treated as a search","desktop","2026-09-17","passed","2026-09-17","Negative paths — what a person sees when something finds nothing","features/negative.feature.spec.js","",""
